Sample,Assay,Day_Post_Stim,Media,Treatment,Fold_Change,Batch,raw_OD,,
458,ALP,3,DM,NC100P100,0.951095421,4,0.1145,,
459,ALP,3,DM,NC100P100,0.943619562,4,0.1136,,
460,ALP,3,DM,NC100P100,0.922022635,4,0.111,,
461,ALP,3,DM,NC100P100,1.069878517,4,0.1288,,
462,ALP,3,DM,NC100P100,0.865538366,4,0.1042,,
463,ALP,3,DM,NC100P100,0.819852559,4,0.0987,,
464,ALP,3,DM,NC100P100,1.128024089,4,0.1358,,
465,ALP,8,CM,CTRL,0.877083,2,0.1772,,
466,ALP,8,CM,CTRL,1.160205,2,0.2344,,
467,ALP,8,CM,CTRL,0.953308,2,0.1926,,
468,ALP,8,CM,CTRL,0.883023,2,0.1784,,
469,ALP,8,CM,CTRL,1.15476,2,0.2333,,
470,ALP,8,CM,CTRL,0.971622,2,0.1963,,
471,ALP,8,CM,NC10,2.657482264,2,0.5369,,
472,ALP,8,CM,NC10,2.299620525,2,0.4646,,
473,ALP,8,CM,NC10,3.332123412,2,0.6732,,
474,ALP,8,CM,NC10,2.508496948,2,0.5068,,
475,ALP,8,CM,NC10,2.339712919,2,0.4727,,
476,ALP,8,CM,NC10,3.365781224,2,0.68,,
477,ALP,8,CM,CTRL,#REF!,3,0.129,,
478,ALP,8,CM,CTRL,#REF!,3,0.128,,
479,ALP,8,CM,CTRL,#REF!,3,0.148,,
480,ALP,8,CM,CTRL,#REF!,3,0.181,,
481,ALP,8,CM,CTRL,#REF!,3,0.136,,
482,ALP,8,CM,CTRL,#REF!,3,0.142,,
483,ALP,8,CM,CTRL,#REF!,3,0.134,,
484,ALP,8,CM,CTRL,#REF!,3,0.193,,
485,ALP,8,CM,NC10,0.825234442,3,0.121,,
486,ALP,8,CM,NC10,0.902983802,3,0.132,,
487,ALP,8,CM,NC10,0.822506394,3,0.121,,
488,ALP,8,CM,NC10,0.911167945,3,0.134,,
489,ALP,8,CM,NC10,0.892071611,3,0.131,,
490,ALP,8,CM,NC10,0.960272805,3,0.141,,
491,ALP,8,CM,NC10,0.760443308,3,0.112,,
492,ALP,8,CM,NC10,1.01483376,3,0.149,,
493,ALP,8,CM,CTRL,2.305513485,4,0.0921,,
494,ALP,8,CM,CTRL,3.316583816,4,0.1153,,
495,ALP,8,CM,CTRL,#REF!,4,0.1307,,
496,ALP,8,CM,CTRL,#REF!,4,0.1072,,
497,ALP,8,CM,CTRL,#REF!,4,0.1111,,
498,ALP,8,CM,CTRL,#REF!,4,0.1189,,
499,ALP,8,CM,CTRL,#REF!,4,0.1031,,
500,ALP,8,CM,CTRL,#REF!,4,0.1196,,
501,ALP,8,CM,NC10,1.030734967,4,0.1157,,
502,ALP,8,CM,NC10,1.219599109,4,0.1369,,
503,ALP,8,CM,NC10,3.118040089,4,0.35,,
504,ALP,8,CM,NC10,2.189755011,4,0.2458,,
505,ALP,8,CM,NC10,2.69844098,4,0.3029,,
506,ALP,8,CM,NC10,1.116258352,4,0.1253,,
507,ALP,8,CM,NC10,2.273496659,4,0.2552,,
508,ALP,8,CM,NC10,1.221380846,4,0.1371,,
509,ALP,8,CM,NC100,2.045702029,2,0.4133,,
510,ALP,8,CM,NC100,1.728427652,2,0.3492,,
511,ALP,8,CM,NC100,1.276522026,2,0.2579,,
512,ALP,8,CM,NC100,2.095198812,2,0.4233,,
513,ALP,8,CM,NC100,1.697739647,2,0.343,,
514,ALP,8,CM,NC100,1.311169774,2,0.2649,,
515,ALP,8,CM,NC100,1.42745098,3,0.209,,
516,ALP,8,CM,NC100,1.951918159,3,0.286,,
517,ALP,8,CM,NC100,1.121909633,3,0.165,,
518,ALP,8,CM,NC100,1.530434783,3,0.224,,
519,ALP,8,CM,NC100,1.171696505,3,0.172,,
520,ALP,8,CM,NC100,1.413810742,3,0.207,,
521,ALP,8,CM,NC100,1.208525149,3,0.177,,
522,ALP,8,CM,NC100,1.879624893,3,0.276,,
523,ALP,8,CM,NC100,1.020044543,4,0.1145,,
524,ALP,8,CM,NC100,1.176837416,4,0.1321,,
525,ALP,8,CM,NC100,2.792873051,4,0.3135,,
526,ALP,8,CM,NC100,2.10155902,4,0.2359,,
527,ALP,8,CM,NC100,2.543429844,4,0.2855,,
528,ALP,8,CM,NC100,1.101113586,4,0.1236,,
529,ALP,8,CM,NC100,2.178173719,4,0.2445,,
530,ALP,8,CM,NC100,1.14922049,4,0.129,,
531,ALP,8,CM,NC200,1.3428815,3,0.197,,
532,ALP,8,CM,NC200,2.758738278,3,0.405,,
533,ALP,8,CM,NC200,1.642966752,3,0.241,,
534,ALP,8,CM,NC200,3.130434783,3,0.459,,
535,ALP,8,CM,NC200,1.373572038,3,0.201,,
536,ALP,8,CM,NC200,2.420460358,3,0.355,,
537,ALP,8,CM,NC200,1.07485081,3,0.158,,
538,ALP,8,CM,NC200,1.70912191,3,0.251,,
539,ALP,8,CM,NC200,2.275278396,4,0.2554,,
540,ALP,8,CM,NC200,1.932293987,4,0.2169,,
541,ALP,8,CM,NC200,2.841870824,4,0.319,,
542,ALP,8,CM,NC200,2.502449889,4,0.2809,,
543,ALP,8,CM,NC200,3.172383073,4,0.3561,,
544,ALP,8,CM,NC200,1.564365256,4,0.1756,,
545,ALP,8,CM,NC200,3.245434298,4,0.3643,,
546,ALP,8,CM,NC200,2.934521158,4,0.3294,,
547,ALP,8,CM,NC200,2.053452116,4,0.2305,,
548,ALP,8,CM,NC200,1.548329621,4,0.1738,,
549,ALP,8,CM,NC200,2.474832962,4,0.2778,,
550,ALP,8,CM,NC200,2.474832962,4,0.2778,,
551,ALP,8,CM,NC200,2.889977728,4,0.3244,,
552,ALP,8,CM,NC200,3.376391982,4,0.379,,
553,ALP,8,CM,NC200,3.137639198,4,0.3522,,
554,ALP,8,CM,NC200,2.871269488,4,0.3223,,
555,ALP,8,CM,P30,4.141890777,2,0.8368,,
556,ALP,8,CM,P30,2.703514272,2,0.5462,,
557,ALP,8,CM,P30,1.081811433,2,0.9993,,
558,ALP,8,CM,P30,3.876588022,2,0.7832,,
559,ALP,8,CM,P30,2.582742122,2,0.5218,,
560,ALP,8,CM,P30,0.516109874,2,1.0206,,
561,ALP,8,CM,P30,0.966410912,3,0.142,,
562,ALP,8,CM,P30,1.179880648,3,0.173,,
563,ALP,8,CM,P30,0.999147485,3,0.147,,
564,ALP,8,CM,P30,1.194202899,3,0.175,,
565,ALP,8,CM,P30,1.089173061,3,0.160,,
566,ALP,8,CM,P30,1.291048593,3,0.189,,
567,ALP,8,CM,P30,0.945268542,3,0.139,,
568,ALP,8,CM,P30,1.256947997,3,0.184,,
569,ALP,8,CM,P30,0.814253898,4,0.0914,,
570,ALP,8,CM,P30,1.000445434,4,0.1123,,
571,ALP,8,CM,P30,1.079732739,4,0.1212,,
572,ALP,8,CM,P30,0.937193764,4,0.1052,,
573,ALP,8,CM,P30,0.967483296,4,0.1086,,
574,ALP,8,CM,P30,1.037861915,4,0.1165,,
575,ALP,8,CM,P30,0.89532294,4,0.1005,,
576,ALP,8,CM,P30,1.050334076,4,0.1179,,
577,ALP,8,CM,P100,4.657152285,2,0.9409,,
578,ALP,8,CM,P100,5.042732222,2,1.0188,,
579,ALP,8,CM,P100,3.946873453,2,0.7974,,
580,ALP,8,CM,P100,4.575482594,2,0.9244,,
581,ALP,8,CM,P100,4.996700214,2,1.0095,,
582,ALP,8,CM,P100,3.952318099,2,0.7985,,
583,ALP,8,CM,P100,0.85701559,4,0.0962,,
584,ALP,8,CM,P100,0.948775056,4,0.1065,,
585,ALP,8,CM,P100,1.004899777,4,0.1128,,
586,ALP,8,CM,P100,0.938975501,4,0.1054,,
587,ALP,8,CM,P100,0.846325167,4,0.095,,
588,ALP,8,CM,P100,1.012026726,4,0.1136,,
589,ALP,8,CM,P100,1.016481069,4,0.1141,,
590,ALP,8,CM,P100,1.017371938,4,0.1142,,
591,ALP,8,CM,P100,0.81247216,4,0.0912,,
592,ALP,8,CM,P100,0.924721604,4,0.1038,,
593,ALP,8,CM,P100,0.999554566,4,0.1122,,
594,ALP,8,CM,P100,0.920267261,4,0.1033,,
595,ALP,8,CM,P100,0.80623608,4,0.0905,,
596,ALP,8,CM,P100,0.977282851,4,0.1097,,
597,ALP,8,CM,P100,0.972828508,4,0.1092,,
598,ALP,8,CM,P100,0.99064588,4,0.1112,,
599,ALP,8,CM,NC10P30,3.87460815,2,0.7828,,
600,ALP,8,CM,NC10P30,3.174228675,2,0.6413,,
601,ALP,8,CM,NC10P30,2.672826266,2,0.54,,
602,ALP,8,CM,NC10P30,3.897376671,2,0.7874,,
603,ALP,8,CM,NC10P30,3.187592806,2,0.644,,
604,ALP,8,CM,NC10P30,2.683715558,2,0.5422,,
605,ALP,8,CM,NC10P30,1.125167038,4,0.1263,,
606,ALP,8,CM,NC10P30,0.950556793,4,0.1067,,
607,ALP,8,CM,NC10P30,1.020044543,4,0.1145,,
608,ALP,8,CM,NC10P30,1.050334076,4,0.1179,,
609,ALP,8,CM,NC10P30,0.905122494,4,0.1016,,
610,ALP,8,CM,NC10P30,0.91403118,4,0.1026,,
611,ALP,8,CM,NC10P30,0.873942094,4,0.0981,,
612,ALP,8,CM,NC10P30,0.783073497,4,0.0879,,
613,ALP,8,CM,NC10P30,1.006681514,4,0.113,,
614,ALP,8,CM,NC10P30,0.825835189,4,0.0927,,
615,ALP,8,CM,NC10P30,0.960356347,4,0.1078,,
616,ALP,8,CM,NC10P30,0.99064588,4,0.1112,,
617,ALP,8,CM,NC10P30,0.876614699,4,0.0984,,
618,ALP,8,CM,NC10P30,0.874832962,4,0.0982,,
619,ALP,8,CM,NC10P30,0.86325167,4,0.0969,,
620,ALP,8,CM,NC10P30,0.792873051,4,0.089,,
621,ALP,8,CM,NC10P100,4.886322389,2,0.9872,,
622,ALP,8,CM,NC10P100,2.827751196,2,0.5713,,
623,ALP,8,CM,NC10P100,2.937139086,2,0.5934,,
624,ALP,8,CM,NC10P100,4.70169939,2,0.9499,,
625,ALP,8,CM,NC10P100,2.740141891,2,0.5536,,
626,ALP,8,CM,NC10P100,2.84507507,2,0.5748,,
627,ALP,8,CM,NC10P100,1.254342984,4,0.1408,,
628,ALP,8,CM,NC10P100,0.982628062,4,0.1103,,
629,ALP,8,CM,NC10P100,1.138530067,4,0.1278,,
630,ALP,8,CM,NC10P100,0.974610245,4,0.1094,,
631,ALP,8,CM,NC10P100,0.955011136,4,0.1072,,
632,ALP,8,CM,NC10P100,1.04766147,4,0.1176,,
633,ALP,8,CM,NC10P100,1.027171492,4,0.1153,,
634,ALP,8,CM,NC10P100,1.087750557,4,0.1221,,
635,ALP,8,CM,NC10P100,1.209799555,4,0.1358,,
636,ALP,8,CM,NC10P100,1.020044543,4,0.1145,,
637,ALP,8,CM,NC10P100,1.051224944,4,0.118,,
638,ALP,8,CM,NC10P100,0.947884187,4,0.1064,,
639,ALP,8,CM,NC10P100,0.906013363,4,0.1017,,
640,ALP,8,CM,NC10P100,0.979064588,4,0.1099,,
641,ALP,8,CM,NC10P100,0.978173719,4,0.1098,,
642,ALP,8,CM,NC10P100,1.052115813,4,0.1181,,
643,ALP,8,CM,NC100P30,2.450090744,2,0.495,,
644,ALP,8,CM,NC100P30,2.674806138,2,0.5404,,
645,ALP,8,CM,NC100P30,3.01138426,2,0.6084,,
646,ALP,8,CM,NC100P30,2.437221581,2,0.4924,,
647,ALP,8,CM,NC100P30,2.622339548,2,0.5298,,
648,ALP,8,CM,NC100P30,2.962877413,2,0.5986,,
649,ALP,8,CM,NC100P30,3.572383073,4,0.401,,
650,ALP,8,CM,NC100P30,3.004008909,4,0.3372,,
651,ALP,8,CM,NC100P30,4.566592428,4,0.5126,,
652,ALP,8,CM,NC100P30,1.138530067,4,0.1278,,
653,ALP,8,CM,NC100P30,3.156347439,4,0.3543,,
654,ALP,8,CM,NC100P30,6.383073497,4,0.7165,,
655,ALP,8,CM,NC100P30,3.467260579,4,0.3892,,
656,ALP,8,CM,NC100P30,2.670824053,4,0.2998,,
657,ALP,8,CM,NC100P30,3.371046771,4,0.3784,,
658,ALP,8,CM,NC100P30,2.867706013,4,0.3219,,
659,ALP,8,CM,NC100P30,3.661469933,4,0.411,,
660,ALP,8,CM,NC100P30,1.068151448,4,0.1199,,
661,ALP,8,CM,NC100P30,2.929175947,4,0.3288,,
662,ALP,8,CM,NC100P30,3.242761693,4,0.364,,
663,ALP,8,CM,NC100P30,3.146547884,4,0.3532,,
664,ALP,8,CM,NC100P30,2.471269488,4,0.2774,,
665,ALP,8,CM,NC100P100,3.753341033,2,0.7583,,
666,ALP,8,CM,NC100P100,2.778254413,2,0.5613,,
667,ALP,8,CM,NC100P100,3.333608315,2,0.6735,,
668,ALP,8,CM,NC100P100,3.669196502,2,0.7413,,
669,ALP,8,CM,NC100P100,2.818841775,2,0.5695,,
670,ALP,8,CM,NC100P100,3.335588187,2,0.6739,,
671,ALP,8,CM,NC100P100,2.036525612,4,0.2286,,
672,ALP,8,CM,NC100P100,1.567928731,4,0.176,,
673,ALP,8,CM,NC100P100,1.054788419,4,0.1184,,
674,ALP,8,CM,NC100P100,0.796436526,4,0.0894,,
675,ALP,8,CM,NC100P100,0.934521158,4,0.1049,,
676,ALP,8,CM,NC100P100,2.695768374,4,0.3026,,
677,ALP,8,CM,NC100P100,4.56481069,4,0.5124,,
678,ALP,8,CM,NC100P100,0.980846325,4,0.1101,,
679,ALP,8,CM,NC100P100,1.859242762,4,0.2087,,
680,ALP,8,CM,NC100P100,1.394209354,4,0.1565,,
681,ALP,8,CM,NC100P100,1.017371938,4,0.1142,,
682,ALP,8,CM,NC100P100,0.773273942,4,0.0868,,
683,ALP,8,CM,NC100P100,0.898886414,4,0.1009,,
684,ALP,8,CM,NC100P100,1.471714922,4,0.1652,,
685,ALP,8,CM,NC100P100,2.286859688,4,0.2567,,
686,ALP,8,CM,NC100P100,0.971937639,4,0.1091,,
687,ALP,8,DM,CTRL,0.819431715,2,0.3598,,
688,ALP,8,DM,CTRL,0.961503208,2,0.383,,
689,ALP,8,DM,CTRL,2.7736022,2,0.3911,,
690,ALP,8,DM,CTRL,4.696608616,2,0.3581,,
691,ALP,8,DM,CTRL,1.009165903,2,0.3842,,
692,ALP,8,DM,CTRL,1.912923924,2,0.391,,
693,ALP,8,DM,NC10,#VALUE!,2,0.6109,,
694,ALP,8,DM,NC10,#VALUE!,2,0.7616,,
695,ALP,8,DM,NC10,#VALUE!,2,0.3976,,
696,ALP,8,DM,NC10,#VALUE!,2,0.5448,,
697,ALP,8,DM,NC10,#VALUE!,2,0.6191,,
698,ALP,8,DM,NC10,#VALUE!,2,0.3313,,
699,ALP,8,DM,CTRL,#VALUE!,3,0.229,,
700,ALP,8,DM,CTRL,#VALUE!,3,0.346,,
701,ALP,8,DM,CTRL,#VALUE!,3,0.266,,
702,ALP,8,DM,CTRL,#VALUE!,3,0.430,,
703,ALP,8,DM,CTRL,#VALUE!,3,0.196,,
704,ALP,8,DM,CTRL,#VALUE!,3,0.261,,
705,ALP,8,DM,CTRL,#VALUE!,3,0.216,,
706,ALP,8,DM,CTRL,#VALUE!,3,0.378,,
707,ALP,8,DM,NC10,0.679846664,3,0.197,,
708,ALP,8,DM,NC10,1.146745919,3,0.333,,
709,ALP,8,DM,NC10,0.696386269,3,0.202,,
710,ALP,8,DM,NC10,1.22393074,3,0.355,,
711,ALP,8,DM,NC10,1.051987768,3,0.305,,
712,ALP,8,DM,NC10,1.735969333,3,0.504,,
713,ALP,8,DM,NC10,0.690873067,3,0.201,,
714,ALP,8,DM,NC10,1.189128656,3,0.345,,
715,ALP,8,DM,CTRL,#VALUE!,4,0.1815,,
716,ALP,8,DM,CTRL,#VALUE!,4,0.1574,,
717,ALP,8,DM,CTRL,#VALUE!,4,0.1476,,
718,ALP,8,DM,CTRL,#VALUE!,4,0.1519,,
719,ALP,8,DM,CTRL,#VALUE!,4,0.1612,,
720,ALP,8,DM,CTRL,#VALUE!,4,0.1718,,
721,ALP,8,DM,CTRL,#VALUE!,4,0.1774,,
722,ALP,8,DM,CTRL,#VALUE!,4,0.1218,,
723,ALP,8,DM,NC10,1.054619865,4,0.1675,,
724,ALP,8,DM,NC10,1.099952778,4,0.1747,,
725,ALP,8,DM,NC10,1.060916103,4,0.1685,,
726,ALP,8,DM,NC10,0.815992445,4,0.1296,,
727,ALP,8,DM,NC10,1.102471273,4,0.1751,,
728,ALP,8,DM,NC10,0.784511255,4,0.1246,,
729,ALP,8,DM,NC10,0.850621754,4,0.1351,,
730,ALP,8,DM,NC10,0.929954352,4,0.1477,,
731,ALP,8,DM,NC100,#VALUE!,2,1.0043,,
732,ALP,8,DM,NC100,#VALUE!,2,1.0935,,
733,ALP,8,DM,NC100,#VALUE!,2,1.0636,,
734,ALP,8,DM,NC100,#VALUE!,2,0.9274,,
735,ALP,8,DM,NC100,#VALUE!,2,0.9447,,
736,ALP,8,DM,NC100,#VALUE!,2,0.9234,,
737,ALP,8,DM,NC100,0.71740535,3,0.208,,
738,ALP,8,DM,NC100,1.048542017,3,0.304,,
739,ALP,8,DM,NC100,0.742903907,3,0.216,,
740,ALP,8,DM,NC100,1.629840203,3,0.473,,
741,ALP,8,DM,NC100,0.827324805,3,0.240,,
742,ALP,8,DM,NC100,1.206701986,3,0.350,,
743,ALP,8,DM,NC100,0.787354094,3,0.229,,
744,ALP,8,DM,NC100,1.540939829,3,0.447,,
745,ALP,8,DM,NC100,1.106249016,4,0.1757,,
746,ALP,8,DM,NC100,1.141507949,4,0.1813,,
747,ALP,8,DM,NC100,1.2195813,4,0.1937,,
748,ALP,8,DM,NC100,1.077915945,4,0.1712,,
749,ALP,8,DM,NC100,1.306469385,4,0.2075,,
750,ALP,8,DM,NC100,1.048323627,4,0.1665,,
751,ALP,8,DM,NC100,1.217062805,4,0.1933,,
752,ALP,8,DM,NC100,0.987250118,4,0.1568,,
753,ALP,8,DM,NC200,1.063703321,3,0.309,,
754,ALP,8,DM,NC200,3.241073351,3,0.941,,
755,ALP,8,DM,NC200,1.217039238,3,0.353,,
756,ALP,8,DM,NC200,3.037084895,3,0.881,,
757,ALP,8,DM,NC200,1.241848645,3,0.360,,
758,ALP,8,DM,NC200,3.490545721,3,1.013,,
759,ALP,8,DM,NC200,0.84455356,3,0.245,,
760,ALP,8,DM,NC200,1.802127751,3,0.523,,
761,ALP,8,DM,NC200,1.537541319,4,0.2442,,
762,ALP,8,DM,NC200,1.555170785,4,0.247,,
763,ALP,8,DM,NC200,2.607272155,4,0.4141,,
764,ALP,8,DM,NC200,2.141350543,4,0.3401,,
765,ALP,8,DM,NC200,3.855186526,4,0.6123,,
766,ALP,8,DM,NC200,1.585392728,4,0.2518,,
767,ALP,8,DM,NC200,2.065166063,4,0.328,,
768,ALP,8,DM,NC200,2.796788919,4,0.4442,,
769,ALP,8,DM,NC200,3.373524319,4,0.5358,,
770,ALP,8,DM,NC200,6.716826696,4,1.0668,,
771,ALP,8,DM,NC200,3.671966,4,0.5832,,
772,ALP,8,DM,NC200,3.894223202,4,0.6185,,
773,ALP,8,DM,NC200,4.443255155,4,0.7057,,
774,ALP,8,DM,NC200,3.200377774,4,0.5083,,
775,ALP,8,DM,NC200,2.599087045,4,0.4128,,
776,ALP,8,DM,NC200,7.386746419,4,1.1732,,
777,ALP,8,DM,P30,1.285062175,2,0.7435,,
778,ALP,8,DM,P30,0.528464243,2,1.5978,,
779,ALP,8,DM,P30,0.688388688,2,1.6309,,
780,ALP,8,DM,P30,0.932262973,2,0.6814,,
781,ALP,8,DM,P30,1.124508106,2,1.3616,,
782,ALP,8,DM,P30,2.238942232,2,1.3501,,
783,ALP,8,DM,P30,0.525477021,3,0.153,,
784,ALP,8,DM,P30,0.781151742,3,0.227,,
785,ALP,8,DM,P30,0.5409829,3,0.157,,
786,ALP,8,DM,P30,0.821467028,3,0.238,,
787,ALP,8,DM,P30,0.536847999,3,0.156,,
788,ALP,8,DM,P30,0.814920102,3,0.237,,
789,ALP,8,DM,P30,0.401429987,3,0.117,,
790,ALP,8,DM,P30,0.556144205,3,0.161,,
791,ALP,8,DM,P30,1.048323627,4,0.1665,,
792,ALP,8,DM,P30,0.887769558,4,0.141,,
793,ALP,8,DM,P30,0.848732882,4,0.1348,,
794,ALP,8,DM,P30,0.850621754,4,0.1351,,
795,ALP,8,DM,P30,0.999842594,4,0.1588,,
796,ALP,8,DM,P30,0.933102471,4,0.1482,,
797,ALP,8,DM,P30,1.014953565,4,0.1612,,
798,ALP,8,DM,P30,0.700141665,4,0.1112,,
799,ALP,8,DM,P100,#VALUE!,2,1.5928,,
800,ALP,8,DM,P100,#VALUE!,2,1.6682,,
801,ALP,8,DM,P100,#VALUE!,2,1.0012,,
802,ALP,8,DM,P100,#VALUE!,2,1.3436,,
803,ALP,8,DM,P100,#VALUE!,2,1.4225,,
804,ALP,8,DM,P100,#VALUE!,2,0.8943,,
805,ALP,8,DM,P100,1.247914371,4,0.1982,,
806,ALP,8,DM,P100,0.995435227,4,0.1581,,
807,ALP,8,DM,P100,0.915473005,4,0.1454,,
808,ALP,8,DM,P100,2.00661105,4,0.3187,,
809,ALP,8,DM,P100,0.467810483,4,0.0743,,
810,ALP,8,DM,P100,0.844955139,4,0.1342,,
811,ALP,8,DM,P100,1.148433811,4,0.1824,,
812,ALP,8,DM,P100,1.026916417,4,0.1631,,
813,ALP,8,DM,P100,1.12513773,4,0.1787,,
814,ALP,8,DM,P100,0.987879742,4,0.1569,,
815,ALP,8,DM,P100,0.841177397,4,0.1336,,
816,ALP,8,DM,P100,1.8492051,4,0.2937,,
817,ALP,8,DM,P100,0.50873603,4,0.0808,,
818,ALP,8,DM,P100,0.788288997,4,0.1252,,
819,ALP,8,DM,P100,1.071619707,4,0.1702,,
820,ALP,8,DM,P100,0.979065009,4,0.1555,,
821,ALP,8,DM,NC10P30,0.031187366,2,0.9971,,
822,ALP,8,DM,NC10P30,0.056330343,2,0.9658,,
823,ALP,8,DM,NC10P30,0.076562254,2,0.6977,,
824,ALP,8,DM,NC10P30,0.068461094,2,0.4168,,
825,ALP,8,DM,NC10P30,0.075009182,2,0.9508,,
826,ALP,8,DM,NC10P30,0.065858649,2,0.6918,,
827,ALP,8,DM,NC10P30,0.955768928,4,0.1518,,
828,ALP,8,DM,NC10P30,0.722808122,4,0.1148,,
829,ALP,8,DM,NC10P30,0.926176609,4,0.1471,,
830,ALP,8,DM,NC10P30,0.613883205,4,0.0975,,
831,ALP,8,DM,NC10P30,0.721548875,4,0.1146,,
832,ALP,8,DM,NC10P30,0.677475209,4,0.1076,,
833,ALP,8,DM,NC10P30,0.866991972,4,0.1377,,
834,ALP,8,DM,NC10P30,0.797103731,4,0.1266,,
835,ALP,8,DM,NC10P30,0.863843853,4,0.1372,,
836,ALP,8,DM,NC10P30,0.670549347,4,0.1065,,
837,ALP,8,DM,NC10P30,0.846844011,4,0.1345,,
838,ALP,8,DM,NC10P30,0.574216905,4,0.0912,,
839,ALP,8,DM,NC10P30,0.679993704,4,0.108,,
840,ALP,8,DM,NC10P30,0.638438533,4,0.1014,,
841,ALP,8,DM,NC10P30,0.829844168,4,0.1318,,
842,ALP,8,DM,NC10P30,0.782622383,4,0.1243,,
843,ALP,8,DM,NC10P100,#REF!,2,0.7271,,
844,ALP,8,DM,NC10P100,#REF!,2,0.8628,,
845,ALP,8,DM,NC10P100,#REF!,2,0.5527,,
846,ALP,8,DM,NC10P100,#REF!,2,0.6122,,
847,ALP,8,DM,NC10P100,#REF!,2,0.7599,,
848,ALP,8,DM,NC10P100,#REF!,2,0.4858,,
849,ALP,8,DM,NC10P100,1.054619865,4,0.1675,,
850,ALP,8,DM,NC10P100,1.099952778,4,0.1747,,
851,ALP,8,DM,NC10P100,1.060916103,4,0.1685,,
852,ALP,8,DM,NC10P100,0.815992445,4,0.1296,,
853,ALP,8,DM,NC10P100,1.102471273,4,0.1751,,
854,ALP,8,DM,NC10P100,0.784511255,4,0.1246,,
855,ALP,8,DM,NC10P100,0.850621754,4,0.1351,,
856,ALP,8,DM,NC10P100,0.929954352,4,0.1477,,
857,ALP,8,DM,NC10P100,1.106249016,4,0.1757,,
858,ALP,8,DM,NC10P100,1.141507949,4,0.1813,,
859,ALP,8,DM,NC10P100,1.2195813,4,0.1937,,
860,ALP,8,DM,NC10P100,1.077915945,4,0.1712,,
861,ALP,8,DM,NC10P100,1.306469385,4,0.2075,,
862,ALP,8,DM,NC10P100,1.048323627,4,0.1665,,
863,ALP,8,DM,NC10P100,1.217062805,4,0.1933,,
864,ALP,8,DM,NC10P100,0.987250118,4,0.1568,,
865,ALP,8,DM,NC100P30,#REF!,2,1.0429,,
866,ALP,8,DM,NC100P30,#REF!,2,1.2426,,
867,ALP,8,DM,NC100P30,#REF!,2,1.0591,,
868,ALP,8,DM,NC100P30,#REF!,2,0.9166,,
869,ALP,8,DM,NC100P30,#REF!,2,0.9586,,
870,ALP,8,DM,NC100P30,#REF!,2,0.854,,
871,ALP,8,DM,NC100P30,0.860695734,4,0.1367,,
872,ALP,8,DM,NC100P30,1.167952149,4,0.1855,,
873,ALP,8,DM,NC100P30,2.386903825,4,0.3791,,
874,ALP,8,DM,NC100P30,0.96269479,4,0.1529,,
875,ALP,8,DM,NC100P30,0.674956713,4,0.1072,,
876,ALP,8,DM,NC100P30,0.523847001,4,0.0832,,
877,ALP,8,DM,NC100P30,0.637808909,4,0.1013,,
878,ALP,8,DM,NC100P30,2.7804187,4,0.4416,,
879,ALP,8,DM,NC100P30,1.232173776,4,0.1957,,
880,ALP,8,DM,NC100P30,1.449393987,4,0.2302,,
881,ALP,8,DM,NC100P30,1.008657327,4,0.1602,,
882,ALP,8,DM,NC100P30,0.732252479,4,0.1163,,
883,ALP,8,DM,NC100P30,0.609475838,4,0.0968,,
884,ALP,8,DM,NC100P30,0.574216905,4,0.0912,,
885,ALP,8,DM,NC100P30,0.582402015,4,0.0925,,
886,ALP,8,DM,NC100P30,0.923658114,4,0.1467,,
887,ALP,8,DM,NC100P100,#REF!,2,0.882,,
888,ALP,8,DM,NC100P100,#REF!,2,0.7801,,
889,ALP,8,DM,NC100P100,#REF!,2,1.1518,,
890,ALP,8,DM,NC100P100,#REF!,2,0.8248,,
891,ALP,8,DM,NC100P100,#REF!,2,0.684,,
892,ALP,8,DM,NC100P100,#REF!,2,0.9387,,
893,ALP,8,DM,NC100P100,1.979537227,4,0.3144,,
894,ALP,8,DM,NC100P100,1.766724382,4,0.2806,,
895,ALP,8,DM,NC100P100,1.972611365,4,0.3133,,
896,ALP,8,DM,NC100P100,2.202424052,4,0.3498,,
897,ALP,8,DM,NC100P100,2.269164174,4,0.3604,,
898,ALP,8,DM,NC100P100,1.928537699,4,0.3063,,
899,ALP,8,DM,NC100P100,2.149535652,4,0.3414,,
900,ALP,8,DM,NC100P100,1.592948213,4,0.253,,
901,ALP,8,DM,NC100P100,2.081536282,4,0.3306,,
902,ALP,8,DM,NC100P100,1.828427515,4,0.2904,,
903,ALP,8,DM,NC100P100,1.869982685,4,0.297,,
904,ALP,8,DM,NC100P100,2.431607115,4,0.3862,,
905,ALP,8,DM,NC100P100,2.496458366,4,0.3965,,
906,ALP,8,DM,NC100P100,2.249016213,4,0.3572,,
907,ALP,8,DM,NC100P100,2.395718558,4,0.3805,,
908,ALP,8,DM,NC100P100,1.59231859,4,0.2529,,
909,AR,8,CM,CTRL,1.383155397,2,0.104,,
910,AR,8,CM,CTRL,1.425069197,2,0.117,,
911,AR,8,CM,CTRL,1.211150652,2,0.118,,
912,AR,8,CM,CTRL,1.349940687,2,0.085,,
913,AR,8,CM,NC10,1.349034385,2,0.1432,,
914,AR,8,CM,NC10,1.88224211,2,0.1998,,
915,AR,8,CM,NC10,1.877531795,2,0.1993,,
